iduser ,location,rank ,average_rating
1,Southeastern Massachusetts,\N,4.3959
2,"Brookhaven, NY",242,3.5141
3,Manitowoc,\N,4.6667
4,"Blue Springs, MO",352,4.3719
5,A Damp & Cold Corner Of The World. ,\N,3
6,"Baltimore, Maryland",\N,4.0455
7,Indiana,\N,3.9091
8,"Fargo, ND",\N,4.0727
9,"South Berwick, ME",27,3.5325
10,Frostbite Falls,\N,4.0456
11,\N,\N,4.1058
12,"Wylie, Texas",510,4.0737
13,Gastonia NC,330,4.1468
14,"Jacksonville, Florida, USA",114,3.9254
15,East Texas,\N,4.1429
16,Hershey Pa,974,4.5584
17,"Gulf Coast, Texas",161,3.6866
18,West Coast Of Mars,138,4.1827
19,Michigan,228,4.2161
20,"Elizabethtown, Ky.",14,4.2814
21,\N,\N,4.1739
22,Hockeytown - Go Red Wings!,59,4.2377
23,"Northern Michigan, USA",410,3.9955
24,"Canton, Georgia.",42,4.0672
25,\N,\N,4.2353
26,\N,\N,3.625
27,Victorville Ca.,\N,4.2667
28,"Metrowest Boston, MA - USA",25,3.8277
29,"Actionville, FL (Jacksonville)",\N,3.7857
30,"Pittsburgh, PA",\N,3.9444
31,"Yorkshire, England",387,3.9036
32,Arkansas,88,4.3305
33,\N,22,3.9462
34,New York,\N,4.2596
35,"Sydney, Australia",335,3.9437
36,Virginia,108,3.3889
37,"Fort Lauderdale & Washington, DC",119,4.0908
38,"Cottonwood, CA",\N,3.3193
39,Florida,72,4.8886
40,Massachusetts,\N,4.1111
41,out on the western cape....,102,4.6174
42,"Somewhere cold.  Very, very cold.",\N,3.7778
43,Wisconsin,804,4.4821
44,very far away from the Pacific Northwest,\N,4.3333
45,Ugh,\N,3.9032
46,Virginia,62,3.8337
47,In Transit (mentally and physically),\N,3.3878
48,Sweden,50,3.8517
49,Northern United States ,\N,4.2
50,Citrus County Florida,\N,3.8222
51,"Granada Hills, Ca, USA",891,4.7018
52,"Boston, Massachusetts, USA",342,4.1765
53,Upstate NY,37,3.6303
54,"Palo Alto, CA",827,3.2471
55,upstate New York,\N,4.5
56,I STILL have no idea where I am.......,106,4.1273
57,Grampian PA,909,4.4966
58,"Houston, TX",\N,3.8696
59,"Long Island, NY",\N,4.4778
60,\N,366,3.8537
61,"Katy, TX",\N,3.7826
62,"Davenport, WA",193,4.2617
63,"San Diego, CA",\N,3.76
64, Atlantic Coast,8,3.3634
65,"Olathe, Kansas",392,4.125
66,"Pittsburgh, PA",\N,4.2727
67,Austin TX,\N,\N
68,\N,\N,3.7727
69,"Bridgeview,IL",\N,4.2041
70,<b>Northeast Ohio,\N,3.8974
71,\N,\N,\N
72,Rocky Mountains  - Colorado,\N,3.9444
73,"Bullhead City, AZ",273,4.0608
74,"Waikele, HI",\N,3.7455
75,"Overland Park, KS",360,3.3143
76,Up North',248,4.663
77,\N,\N,3.9184
78,NW Georgia,921,4.0691
79,Massachusetts,561,4.5745
80,"Let the \meltdown\"" begin...""",258,3.9091
81,"Melrose,Ma.",\N,4.5
82,"Seattle, WA",829,4.1056
83,Plano,278,4.3816
84,"Arlington, MA",\N,4.5088
85,Boston area,320,4.2096
86,"Kansas City, Missouri ",188,4.1
87,More East Than West,292,4.2
88,"Boston, MA",478,4.3259
89,Fabulous Las Vegas,893,4.2804
90,"Los Angeles, California, USA",\N,4.3095
91,\N,\N,3.9697
92,"Ontario, Canada",\N,3.9394
93,"Lawrenceville, NJ",\N,3.9231
94,"near Chicago, Illinois",136,3.978
95,Southern California,658,4.7162
96,"Louisville, Kentucky",563,4.1892
97,"San Jose, CA",566,4
98,Somewhere in Africa,632,4.1388
99,'burbs of NY,\N,\N
100,Philly,742,4.1059
101,Lone Star State,13,3.6861
102,"The 29th Congressional District, CA",863,4.2
103,"Toronto, Canada",\N,4.3209
104,USA,209,4.3746
105,"Levittown, PA",\N,4.2791
106,"Chicago, Illinois",28,4.0329
107,Virginia,\N,3.8587
108,New York,338,4.0699
109,"Parkland, Florida",445,4.7143
110,"Laredo, Texas",\N,4.0833
111,"Houston, TX",5,3.5586
112,Atlanta,\N,3.7027
113,Northern California,\N,4.1842
114,Louisiana,40,3.7829
115,wandering the fringes of the goal crease,23,3.6825
116,\N,\N,4.6429
117,Champaign,\N,3.8873
118,The Great Lakes of Michigan,\N,4.1791
119,"Upstate NY,  near Saratoga Springs, in the Adirondacks",\N,4.3594
120,out in the yard grilling,47,3.8395
121,"Hollywood,FL",\N,4.4531
122,"Anderson, Indiana",\N,4.6667
123,New York,518,3.764
124,New York,\N,4.2727
125,"Cleveland, OH",\N,4.0241
126, Maryland,139,4.0486
127,\N,\N,2.2857
128,Georgia,80,3.8044
129,"Baltimore, MD",\N,4.0943
130,"Sedona,  Arizona",814,4.2841
131,"Ohio, USA",236,4.3218
132,\N,4,4.4104
133,\N,94,3.8496
134,Closer Than You Think,\N,3.6923
135,"Olathe, KS USA",175,4.0763
136,Xanadu,\N,5
137,"Salt Lake City, Utah",82,4.1104
138,Washington State,\N,3.6765
139,"Portland, OR",298,4.328
140,"Henrico, VA",383,3.7008
141,"Naples, Fl",\N,3.6818
142,Greenest spot in the land of the free,\N,4.0873
143,Pennsylvania,755,3.8367
144,"Louisville, KY",\N,3.9027
145,Small town USA... ,\N,4.7391
146,"Philadelphia, PA",\N,4.4625
147,25 miles Northwest of Boston,\N,4.1905
148,Sweet Home Alabama ,790,4.1622
149,"Cartersville, Georgia, United States",\N,3.9412
150,Connecticut,\N,4.0312
151,"Dayton, Ohio",649,3.8318
152,\N,\N,4
153,"The Bay State (and tell me, why did all of our sports team have to decide to stink all at one time?? What happened to the days o",\N,4
154,near Pittsburgh,305,3.7941
155,"Maryland, USA",104,4.22
156,My Own Private Idaho...,846,3.7532
157,\N,629,2.6
158,East Tennessee,16,4.1669
159,Tennessee,712,4.1923
160, Above Beautiful Napa Valley,452,3.822
161,NY,\N,4.0791
162,"Metro Detroit, Michigan",41,3.8106
163,Alhambra CA,\N,3.9333
164,The Garden State,99,4.3198
165,"Lexington, KY",\N,4.1316
166,"Lansing, KS ",\N,4.2667
167,Sunny California,542,3.95
168,Georgia,61,3.8158
169,"Pensacola, FL",\N,4.1538
170,"Baltimore, MD",627,4.2059
171,"Boston, Mass",\N,4
172,"Long Island,  New York",10,3.8057
173,"suburb of Philadelphia, Pa",\N,4.2338
174,USA,91,3.9712
175,"SouthCoast area, Massachusetts",\N,3.7949
176,"Philadelphia, PA",337,3.872
177,"Harrison Township, MI",\N,3.8409
178,"Katy, Texas (suburb west of Houston)",\N,4.2333
179,"Cleveland, Ohio",\N,3.9333
180,Texas,567,4.0299
181,North Carolina,948,3.73
182,Massachusetts,\N,4.527
183,  New Zealand,749,4.1983
184,Maryland,\N,4.4239
185,"West Chester, PA",\N,4.75
186,Land of Bweebada Babada,505,4.1309
187,Chicago area,590,4.1598
188,\N,\N,\N
189,Upstate New York,401,4.1385
190,"Fernley, Nevada, USA",\N,3.6111
191,NYC,\N,3.7619
192,Louisiana,73,4.3164
193,"Alberta, Canada",\N,4.3208
194,"Louisville, KY",7,4.3223
195,overlooking the ocean when home,1,3.9633
196,"Orlando, Florida",\N,3.4545
197,In a state of confusion,266,3.8764
198,CT,\N,3.5714
199,The Continental 48,222,3.9764
200,"Southern California, USA",698,4.3252
201,"Long Island, New York",917,4.2063
202,"Saunderstown, RI, USA",52,4.2376
203,New York City,684,3.8852
204,Oops Upside Your Head,546,3.3571
205,"Calgary, Alberta, Canada",\N,4.2222
206,Arizona,\N,3.9091
207,\N,887,4.2909
208,\N,\N,4.0323
209,"Dayton, Ohio",\N,4.2821
210,Texas,\N,2.2727
211,"Staten Island, NY",117,4.5506
212,Gurnee Il,\N,3.7857
213,FL,562,4.2419
214,"Temecula, CA",\N,3.9273
215,Tree Lined Suburbs of Central NJ,462,4.162
216,Seattle Area,453,4.0465
217,\N,\N,3.375
218,"Miami, Fl",83,4.1035
219,USA,\N,4.4545
220,\N,328,3.75
221,"Collierville, TN",148,4.3333
222,Binghamton NY,\N,4.381
223,Georgia,\N,3.6111
224,\N,\N,3.9655
225,RED SOX LAND!,96,3.6287
226,"Yakima,Washington",\N,3.6667
227,"Boston, MA",991,4.2011
228,Kansas ,655,3.9784
229,\N,\N,\N
230,Calistoga - Napa Valley Wine Country ,460,3.4725
231,"Metro Boston, MA",77,3.2582
232,"Mount Washington Valley, New Hampshire",18,3.8083
233,ME - on the edge of nowhere,\N,4.4
234,"Newton, Iowa",\N,3.7045
235,Ohio,\N,4.2632
236,"Pasadena, CA",\N,4.3125
237,"Bridgewater, MA",\N,4.1531
238,"Appomattox, Virginia",71,4.0026
239,Wisconsin,173,4.343
240,"Dallas, TX",663,4.1718
241,Jersey Shore,211,3.7489
242,The Great Midwest ,682,4.2316
243,San Marcos Texas,\N,4.4821
244,USA,\N,3.6522
245,Canada,308,4.3306
246,"~240000E, 3300000N UTM15",34,3.7603
247,"Alexandria, VA",647,3.7778
248,Bay Area,\N,4.0294
249,\N,\N,3.0217
250,Southern California,30,3.2963
251,\N,\N,4.6
252,Basking in the Sun,19,3.8747
253,"Biloxi, MS",87,3.6034
254,Upstate NY,68,3.7035
255,West Texas,\N,4.0182
256,Boston! Massachusetts,\N,3.6
257,\N,\N,3.9583
258,"Neenah, WI",48,3.6971
259,"La Jolla, CA",\N,4.1288
260,"Colorado Springs, Colorado",\N,4.0714
261,"Lake Park, Georgia",\N,3.3871
262,The Land of Corn and Cows,\N,3.5141
263,View of the Med.,\N,4.9091
264,New Delhi,\N,3.9167
265,Baltimore,789,3.7028
266,Georgia,\N,4.1346
267,The South,64,4.1518
268,"Midland, Texas",945,4.2626
269,Florida,\N,4.3889
270,"Clinton, NJ",101,4.4417
271,Florida,\N,4.4561
272,Jersey Shore,21,3.7752
273,"Shenzhen, China",244,4.6098
274,New England,\N,4.7647
275,"HUMBOLDT COUNTY, CA,USA",126,4.4186
276,Denver,277,3.6181
277,Hockeytown,\N,4
278,Pennsylvania,\N,4.1628
279,Southern California,118,3.9412
280,"Happy Valley, PA",987,4.2703
281,\N,\N,4.0962
282,Blue Ridge Mountains,\N,\N
283,\N,260,4.1724
284,"New York, NY",\N,3.8333
285,"NY, NY",\N,3.25
286,Florida,\N,4.05
287,Ana-Tolia,780,3.0984
288,mysteryinkonline.com,\N,3.5652
289,"Smyrna, Georgia",79,4.243
290,northern Michigan,\N,4.1243
291,"Slicker, Dishevelled, Pursuits",\N,3.7692
292,Milwaukee 'burbs,\N,3.7966
293,\N,\N,\N
294,Indiana,35,3.5929
295,"West Bristol, PA",346,4.1193
296,"Brooklin, Maine",\N,4.4615
297,"Daphne, AL",934,3.9566
298,"San Anselmo, CA",\N,4.25
299,"Long Island, NY",333,3.0299
300,Tara,\N,4.3
301,"Atlanta, GA",\N,4.2857
302,In Limbo.....,\N,4.8
303,"Johnson City, Tennessee",537,4.1951
304,"Charles Town, West Virginia",394,4.358
305,Atlanta. GA. USA,31,4.057
306,"Spring Hill, Florida USA",\N,3.5769
307,"St. Louis, MO",726,4.0938
308,Northern California,243,3.4855
309,Mpls.MN,\N,4.2273
310,<b>Who Knows?,856,4.25
311,\N,898,3.7273
312,Southern Calif.,70,3.7617
313,Between the Waxhaws and Oklawaha,476,3.9783
314,USA,\N,4.5934
315,"Tucson, AZ",\N,4.2683
316,"Boca Raton, FL",141,4.3068
317,The Land Of Ahhh's,606,4.8182
318,The Hoosier State,58,3.7827
319,"Harrisburg, PA",\N,3.6667
320,"Cincinnati, Ohio",517,4.2805
321,Southern California,\N,4.3721
322,California via Yorkshire,286,3.8658
323,\N,\N,3.4516
324,\N,\N,\N
325,\N,\N,4.6364
326,"Marietta, GA",\N,4.383
327,"Abilene, Texas",\N,4.0909
328,"Sanford, FL",\N,3.541
329,\N,\N,4.4583
330,\N,\N,3.9649
331,"Boston, MA",489,4.3371
332,\N,\N,4.5882
333,"East Meadow, NY",\N,4.5079
334,Jackson Tennessee USA W-TN,\N,4.0316
335,"Salisbury, MD",\N,4.1724
336,"augusta, ga",\N,4.3846
337,\N,\N,3.2727
338,\N,\N,4.1375
339,\N,636,4.7432
340,"Orlando, Florida",\N,4.25
341,"Shaw AFB, SC",\N,4.0714
342,\N,\N,3.8876
343,\N,\N,5
344,"Houston, TX",\N,4.4211
345,"Frozen North, WI, United States",\N,4.2794
346,"Quad Cities, USA ",\N,4.4815
347,"Long Island, New York, United States",\N,4
348,"Scotland, UK",\N,4.0333
